student_id,class_id,school_id,county_id,gender,sibling_num,mo_edu,fa_edu,sr_w_m,sr_w_f,sr_w_sib,sr_w_grand,sr_w_othre,sr_w_othnon,boarding,grade9,relationshi,frequency,living_area,pr_w_m,pr_w_f,pr_w_sib,pr_w_grand,pr_w_othre,pr_w_othnon,left_behind,freq_binary,mo_edu_level,fa_edu_level,parent_edu,female,urbanicity_level,has_siblings,living_list,standard_living
1,1,1,1,female,0,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once a week,Central area of the city/county,1,1,0,0,0,0,0,1,l,l,l,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
2,1,1,1,male,0,Bachelor degree,Vocational high school,0,0,0,1,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,0,0,0,1,0,0,0,1,h,m,h,0,2.0,0,['sr_w_grand'],0
3,1,1,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Once a month,Outskirts of the city/county,1,1,0,0,0,0,0,1,l,l,l,0,2.0,1,"['sr_w_m', 'sr_w_f']",1
4,1,1,1,female,0,Senior high school,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once a month,Outskirts of the city/county,1,1,0,0,0,0,0,1,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
6,1,1,1,female,0,Bachelor degree,Bachelor degree,1,0,0,1,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,0,0,1,0,0,0,1,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_grand']",0
8,1,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,1,1,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f']",1
9,1,1,1,female,0,Senior high school,Junior college,1,1,0,0,0,0,0,0,Biological father,Once a year,Outskirts of the city/county,1,1,0,0,0,0,0,0,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
10,1,1,1,male,0,Junior college,Bachelor degree,1,1,0,1,0,0,0,0,Biological mother,Once a year,Outskirts of the city/county,1,1,0,1,0,0,0,0,h,h,h,0,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
11,1,1,1,male,0,Junior college,Senior high school,1,1,0,0,0,0,0,0,Biological father,More than once a week,Central area of the city/county,1,1,0,0,0,0,0,1,h,m,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
12,1,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological father,Once a month,Central area of the city/county,1,1,1,0,0,0,0,1,l,l,l,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
13,1,1,1,female,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological father,Once a year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,0,h,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
14,1,1,1,female,0,Senior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,0,m,l,m,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
15,1,1,1,female,0,Senior high school,Master degree or higher,1,1,0,0,0,0,0,0,Biological mother,Once every half year,The “rural-urban continuum” area of the city/county,1,1,0,0,0,0,0,1,m,h,h,1,2.0,0,"['sr_w_m', 'sr_w_f']",1
16,1,1,1,male,3,Technical secondary school or technical school,Technical secondary school or technical school,1,1,1,0,0,0,0,0,Biological mother,Once every half year,Rural area,1,1,1,0,0,0,0,1,m,m,m,0,3.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
20,1,1,1,male,0,Bachelor degree,Junior college,1,1,0,1,0,0,0,0,Biological father,Once a year,Central area of the city/county,1,1,0,1,0,0,0,0,h,h,h,0,1.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
25,1,1,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Never,Outskirts of the city/county,1,1,0,0,0,0,1,0,l,l,l,0,2.0,1,"['sr_w_m', 'sr_w_f']",1
26,1,1,1,female,1,Bachelor degree,Junior college,1,1,1,0,0,0,0,0,Biological father,Once every half year,Central area of the city/county,1,1,1,0,0,0,0,1,h,h,h,1,1.0,1,"['sr_w_m', 'sr_w_f', 'sr_w_sib']",0
27,1,1,1,female,0,Bachelor degree,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,1,0,0,0,0,0,1,h,m,h,1,1.0,0,"['sr_w_m', 'sr_w_f']",1
28,1,1,1,female,0,Senior high school,Junior high school,1,1,0,1,0,0,0,0,Biological father,Once a year,Outskirts of the city/county,1,1,0,1,0,0,0,0,m,l,m,1,2.0,0,"['sr_w_m', 'sr_w_f', 'sr_w_grand']",1
30,1,1,1,male,0,Junior college,Vocational high school,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Central area of the city/county,1,1,0,0,0,0,0,1,h,m,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
31,1,1,1,male,0,Junior college,Senior high school,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,0,h,m,h,0,1.0,0,"['sr_w_m', 'sr_w_f']",1
32,1,1,1,male,0,Junior college,Junior college,1,0,0,0,0,0,0,0,Biological mother,Once a month,Central area of the city/county,1,0,0,0,0,0,0,1,h,h,h,0,1.0,0,['sr_w_m'],0
