student_id,class_id,school_id,county_id,gender,sibling_num,mo_edu,fa_edu,sr_w_m,sr_w_f,sr_w_sib,sr_w_grand,sr_w_othre,sr_w_othnon,boarding,grade9,relationshi,frequency,living_area,pr_w_m,pr_w_f,pr_w_sib,pr_w_grand,pr_w_othre,pr_w_othnon,left_behind,participation_level,mo_code,fa_code,parent_code,parent_edu_l,parent_edu_m,parent_edu_h,female,has_siblings,urbanicity_level,standard_living
1,1,1,1,female,0,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once a week,Central area of the city/county,1,1,0,0,0,0,0,high,1,1,1,1,0,0,1,0,urban_core,1
2,1,1,1,male,0,Bachelor degree,Vocational high school,0,0,0,1,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,0,0,0,1,0,0,0,moderate,3,2,3,0,0,1,0,0,semi_urban,0
3,1,1,1,male,1,Junior high school,Junior high school,1,1,0,0,0,0,0,0,Biological father,Once a month,Outskirts of the city/county,1,1,0,0,0,0,0,high,1,1,1,1,0,0,0,1,semi_urban,1
4,1,1,1,female,0,Senior high school,Junior college,1,1,0,0,0,0,0,0,Biological mother,Once a month,Outskirts of the city/county,1,1,0,0,0,0,0,high,2,3,3,0,0,1,1,0,semi_urban,1
8,1,1,1,male,0,Bachelor degree,Bachelor degree,1,1,0,0,0,0,0,0,Biological mother,Once every half year,Outskirts of the city/county,1,1,0,0,0,0,1,moderate,3,3,3,0,0,1,0,0,semi_urban,1
9,1,1,1,female,0,Senior high school,Junior college,1,1,0,0,0,0,0,0,Biological father,Once a year,Outskirts of the city/county,1,1,0,0,0,0,0,low,2,3,3,0,0,1,1,0,semi_urban,1
10,1,1,1,male,0,Junior college,Bachelor degree,1,1,0,1,0,0,0,0,Biological mother,Once a year,Outskirts of the city/county,1,1,0,1,0,0,0,low,3,3,3,0,0,1,0,0,semi_urban,1
11,1,1,1,male,0,Junior college,Senior high school,1,1,0,0,0,0,0,0,Biological father,More than once a week,Central area of the city/county,1,1,0,0,0,0,0,high,3,2,3,0,0,1,0,0,urban_core,1
12,1,1,1,female,1,Junior high school,Junior high school,1,1,1,0,0,0,0,0,Biological father,Once a month,Central area of the city/county,1,1,1,0,0,0,0,high,1,1,1,1,0,0,1,1,urban_core,1
14,1,1,1,female,0,Senior high school,Junior high school,1,1,0,0,0,0,0,0,Biological mother,Once a year,Central area of the city/county,1,1,0,0,0,0,0,low,2,1,2,0,1,0,1,0,urban_core,1
